Index,Y_Density,X_Density,Z_Density,GroundTruth_Density
851,9.240646386171075,0.1902939787428276,0.08892741337691744,0.13450127139089238
852,8.341090981153377,0.1815329579664307,0.06666178302289467,0.10530247178663658
853,6.191316163718575,0.16225268853034752,0.08227486038933995,0.12236141197185937
854,6.323984250817999,0.19193529558321853,0.07610424716830994,0.11738003320618444
855,8.054526866808127,0.0696228672951352,0.04819443339418918,0.06360083847911402
856,6.542647093179736,0.3158213074500226,0.08849481606508831,0.14391255301051478
857,7.168290689618983,0.4398126228963258,0.14137902637747685,0.2270527695761965
858,9.27627188912209,0.3697230359684597,0.07603480000081825,0.12626347358491544
859,11.786298378761279,0.40744020766228833,0.12539239383758088,0.20415058381172213
860,18.822843562121772,0.45229016174829695,0.1265340289749696,0.20626597620482615
861,11.73157582768453,0.5348579742360325,0.16160909935409468,0.2598018562999583
862,12.547214158304458,0.4908857037408187,0.13738349272502648,0.22442555297596334
863,9.827683753429344,0.68991908022402,0.18786365085532614,0.306115437302008
864,9.702555746766805,0.7653458068264607,0.1909603444469194,0.3146886700978494
865,7.102422939220287,0.4549686637866146,0.10975483992434107,0.18111487364468687
866,6.132098764121618,0.7044836643673188,0.1400171021652849,0.23343681998233684
867,6.261582210998822,0.0438636677608258,0.023174602139482258,0.033374745047317404
868,5.623815866728251,0.9927372147135735,0.18028815162889128,0.3004012228942626
869,5.325901031354669,0.7737017044229485,0.10501082781448996,0.17649754170353701
870,3.3846357732634758,0.05010287363857061,0.027744531086958686,0.03898115913707271
871,4.246860029523135,0.5203679174063323,0.10744518917987952,0.17967047671845396
872,4.512621591683975,0.49959210426707124,0.0946568346266692,0.15888528254266085
873,3.580086137719482,0.8244935582148425,0.13313201090082466,0.2238852997184365
874,3.8712778167582584,0.7932674288444398,0.12715850224454397,0.21422425660707925
875,5.691321882738319,1.0092878474243938,0.1587876665230906,0.2673566729227591
876,4.811671407724204,0.7798422398125273,0.13150068568725765,0.22204392911085286
877,3.4377396136444958,0.915537337969403,0.1538194051026413,0.2602311988338205
878,2.418535378090094,0.7922815539221364,0.1273943202150331,0.2144456653816127
879,2.190906714573843,0.753553262676697,0.13063109231396608,0.2230737870823189
880,1.9754013330450608,0.4990324100837702,0.09466322348574734,0.1588511432433684
881,2.0341890798974576,0.5836492959638241,0.10849130668489429,0.18165741681096875
882,2.73675544634111,0.6318402824888969,0.14222075771231973,0.24529795131725068
883,3.99080089063741,0.7785449179469841,0.23114177604010325,0.3918547638030957
884,2.884216320474929,0.8059337346302502,0.23518260144899678,0.39825717453487935
885,1.9677162571482356,0.7752776623209197,0.24695215257868247,0.39796393135285923
886,1.5037626818667793,0.511904226667546,0.1312971398706971,0.2199549715119133
887,1.6989495989482548,0.5536649802324175,0.16929882254491935,0.2801357615084361
888,1.759905799896745,0.6742879588160128,0.23980915131342306,0.3801746032808958
889,1.2972590140199156,0.5366822823274394,0.16402874140902307,0.2711822950532604
