Index,Z_Density,X_Density,Y_Density,GroundTruth_Density
1081,3.478964983548535,0.041018301625046716,0.026022803365311764,0.04048096762174726
1082,3.1677474728509583,0.05071594394482058,0.03179026769848248,0.049632494779476635
1083,3.4345581672792873,0.8193209628910205,0.4422232861179243,0.6902841155007493
1084,3.1425272091570995,0.5270071870495059,0.3204207092458258,0.5008130400581297
1085,2.925965661690996,0.49178795883140725,0.31913618434017754,0.4926654037962213
1086,3.013668576841355,0.032256621564204994,0.02009377164698505,0.03147592930167317
1087,2.8839999059367467,0.02927615442407578,0.018107167440038475,0.02834465726041615
1088,2.697802940220242,0.027727852016457506,0.017126535200498387,0.02682265483227169
1089,3.0083308898491383,0.025376052271540984,0.01574036999651184,0.024619822132333595
1090,3.351343328185089,0.024389048019345383,0.015156322349438658,0.02365523124498279
1091,4.589378543321328,0.02362923093813999,0.014761077160562236,0.022949900031641955
1092,3.5500901448195137,0.022297233325628035,0.014025573075550277,0.02169863738947696
1093,1.961486529253106,0.02096356125285854,0.01334922357115452,0.020523057125083045
1094,2.391104538155914,0.019526268691586787,0.012478232706158256,0.019116419939051558
1095,1.9161943577762606,0.018595947146809087,0.012181275194535383,0.018425409218217788
1096,1.3917957696274603,0.017681966441272588,0.011767938769416373,0.017633738342159932
1097,1.5220026731144751,0.02283930408455784,0.015458408188417936,0.022927796779985934
1098,1.8365405749461499,0.016017642505510167,0.011217083410071957,0.016345902517260192
1099,1.745172291823066,0.01531374478816118,0.011071437503792324,0.01585525142820781
1100,2.5327379695733,0.014830967367663006,0.01125874261198592,0.015718879726765396
1101,2.1939370780731844,0.014384380155424934,0.011342711743377806,0.015492325118612583
1102,2.1832016334817057,0.019181456417560867,0.015670878322862087,0.020942147839952487
1103,2.435118380433064,0.013705145088625867,0.011826831080920096,0.015321598189698327
1104,2.5186665439892204,0.018463999430186773,0.01696544983906362,0.021152651178619017
1105,2.3988000673413663,0.018297343437323553,0.018028283019459707,0.02153874922009373
1106,1.4433034743412927,0.013321620588439057,0.014181800323852758,0.01616835929162188
1107,1.1948204194903975,0.013156215642018854,0.014880871924483402,0.016287616651297805
1108,1.202889481167587,0.01807990587534475,0.022302649812914695,0.02296443337905817
1109,1.1706493632150827,0.019076275180109133,0.029191470842226896,0.025788386176823476
1110,1.231305682162623,0.5345898211843819,0.22347979188268022,0.3427269702936003
1111,1.2735298301116216,0.0201236805777713,0.03801745664210794,0.028498036805923145
