,X,Y,Z
53,-1.6692855557181288,-17.091153808513706,33.9790192068865
54,-2.8976045102212415,-16.66650411811564,33.35268697712865
55,-3.8754240008515732,-16.36042227264308,32.956263077961864
56,-4.371938936089618,-15.90074377577331,32.72538147055349
57,-5.4286858443692765,-15.671509698899936,32.59587957096774
58,-6.11187972284664,-15.22780126228474,32.57889527332802
59,-7.21421391187719,-14.88161662166947,32.63510417610543
60,-7.80672710960146,-14.271779695388023,32.8231386687507
61,-8.151936896308516,-13.7495107006478,33.0768852084245
62,-9.017893103194567,-13.281723579620914,33.235151606157146
63,-9.452785238410673,-12.710895284399468,33.553320948770406
64,-9.670103107691537,-11.965531548309682,33.86649959421229
65,-9.943108026031206,-11.357852151619953,34.124192611675795
66,-10.080684922933896,-10.626357111951855,34.37037636587534
67,-10.136750044911308,-9.645013097397378,34.55020881740319
68,-10.089358552673792,-8.66734904660359,34.593892841079295
69,-9.951512573153227,-8.1479246457048,34.547322067360035
70,-9.813093138283168,-7.74302258880065,34.4349860233666
71,-9.599195902240574,-7.240977841281527,34.28807601826082
72,-9.399447957833218,-6.5270340630681725,34.054281026316296
73,-9.00269685842196,-5.890905791928949,33.864807855241224
74,-8.686314092731811,-5.300754388387519,33.562917513886156
75,-8.410436266030723,-4.771455515456189,33.09916526850884
76,-8.004544482987747,-4.275198278305723,32.510065920828225
77,-7.6141202631505465,-3.972475347045389,31.946701146057844
78,-7.3931534946794,-3.7026126307260836,31.273438935945997
79,-6.823734639212842,-3.428058320045595,30.598493548224162
80,-6.48043230502143,-3.1285796166063786,30.022678364203202
81,-6.180387431072241,-2.966371145525347,29.45450408531907
82,-6.065263608026473,-2.8201637217731044,28.786177600860096
83,-5.867475825444858,-2.7388689985092105,28.28275127478463
84,-5.5426447553245035,-2.6604254578257667,27.742869188661366
85,-5.30238390793702,-2.6494085880683964,27.159362961920486
86,-5.064954906938417,-2.6674664375177497,26.582323446227157
87,-4.845740337239396,-2.7125513720077814,25.963465318118143
88,-4.657503173861768,-2.7797773105589196,25.4151234889397
89,-4.485358505105555,-2.8729286229484376,24.730319681996235
90,-4.324957446015808,-3.0110716234255164,24.082243865139905
91,-4.179069056240002,-3.079935918018499,23.575611139118653
92,-4.065046921517365,-3.230875458659738,23.28417243776338
93,-3.9883203808912517,-3.427935464054281,22.79417993311369
94,-3.9324625569901692,-3.611468659425412,22.383789558287184
95,-3.899931715499469,-3.75974502389691,22.06141435599988
96,-3.8858850779770098,-3.8766636699599895,21.59167048203824
97,-3.8849720664985785,-4.054134147208117,21.16036124732384
98,-3.902048841858711,-4.268106809744816,20.717296284431708
99,-3.9391043502935723,-4.600128520406218,20.43561595674726
100,-4.02124595201415,-4.887314785617118,20.082354029774056
101,-4.059889251088892,-5.2052395040311925,19.71780995082971
102,-4.202720811948712,-5.492740975626545,19.427229087196306
103,-4.3484084960677425,-5.806578256553875,19.128237007053414
104,-4.526877335321922,-6.056907567296305,18.861099288821034
105,-4.6579235023872165,-6.425644373507657,18.679744125281747
106,-4.844514949016769,-7.051699353860422,18.48440582752139
107,-5.108885642460095,-7.449293715923615,18.34363036987331
108,-5.347773126331162,-7.955667838750569,18.240224792445265
109,-5.583080179066293,-8.459382576372965,18.18273690471115
110,-5.941028402077673,-8.91793041345551,18.172444890367007
111,-6.221935583659656,-9.448736338552791,18.209583726227457
112,-6.639473431274218,-9.892286020264471,18.274625565314437
113,-6.914704381732107,-10.291751391750402,18.443388302212078
114,-6.973733409063428,-11.026925597294776,18.714877652701002
115,-7.379078122401493,-11.604260801773167,18.92810369663508
116,-7.80934881276522,-12.227377846033832,19.327427164719914
117,-8.410315181161234,-12.764941521832679,19.765384689668544
118,-9.000544884732836,-13.273447378785928,20.313230358613573
119,-9.487980379695475,-13.668761275805517,20.97044152492596
120,-9.806037700293237,-14.1719322608138,21.73102814150523
121,-10.178563561752517,-14.661176440766956,22.652050176601435
122,-10.70087034061372,-15.208840325202956,23.723382518643795
123,-11.117952594999824,-15.51312904055529,24.53995362096967
124,-11.656206204446796,-15.776779080410968,25.392234910946566
125,-12.208744591361722,-15.909929157879885,26.603047809159694
126,-12.563900803451643,-15.922174437362948,27.740961317353083
127,-12.882998027371976,-15.789451788518104,28.421600387998353
128,-13.124522306957816,-15.579453263046403,29.95754436789438
129,-13.383613014685556,-15.341731020492862,31.168653265428862
130,-13.568023764414448,-14.150006722512854,32.55661125747799
131,-13.640990742951498,-13.343312896653904,33.62732811572831
132,-13.605043430715703,-12.714119474714954,34.520874777404515
133,-13.521743850592838,-11.652768837630912,35.181939599961325
134,-13.334023244406184,-10.45185012418601,35.80915165962774
135,-13.029066393735087,-9.52305303868129,36.15397682320159
136,-12.46657120526008,-8.32365472438801,36.442222580442625
137,-12.039652019421,-7.140765558745674,36.50834158980697
138,-11.489305267014712,-5.810276736671203,36.394385312920654
139,-10.895091080329216,-5.000486159919947,36.07429946480371
140,-10.360906108923976,-4.138129951821122,35.772787554967394
141,-9.692692508901397,-3.286736491743157,35.238584578044055
142,-9.06835331260437,-2.489045271097101,34.765822116222566
143,-8.418992706860426,-1.820261039126138,34.1501419718629
144,-7.442264459854619,-1.1330299629674259,33.378163227823634
145,-6.837134994390942,-0.7225205952459914,32.47982519164002
146,-6.208672727075114,-0.5683247235914131,31.55070211309795
147,-5.4746389724055105,-0.3487853015662108,30.384956387423863
148,-4.9349513380408085,-0.2321912055720014,29.736091588185893
149,-4.450007142367385,-0.16925137180304253,29.39028191577537
150,-3.904601250907586,-0.11409436435513169,28.553825321055083
151,-3.678586859974065,-0.11360606169252759,27.920482693971177
152,-3.3309956454233087,-0.11544078836336187,27.354053127564757
153,-3.0065731690738375,-0.13599354559472665,26.41246120618099
154,-2.6485719230750635,-0.16764171031437075,25.709907365458964
155,-2.376721210205667,-0.2215854524272332,24.963992691150892
156,-2.1889913235496863,-0.2989508536255461,24.558664657088137
157,-1.9772774310979278,-0.36779707591027017,23.997071410019288
